district,lat,lon,firs,cases_solved,risk_intensity,yoy_change_pct
Bengaluru City,12.9716,77.5946,16456,9120,84.4,-8.2
Mysuru,12.2958,76.6394,857,491,4.4,-16.9
Hubballi-Dharwad,15.3647,75.124,1916,1344,9.8,-17.7
Belagavi,15.8497,74.4977,1264,702,6.5,-17.3
Kalaburagi,17.3297,76.8343,876,557,4.5,-20.7
Ballari,15.1394,76.9214,807,542,4.1,13.1
Davanagere,14.4644,75.9932,1259,739,6.5,7.5
Shivamogga,13.9299,75.5681,2057,1435,10.5,15.9
Mangaluru,12.9141,74.856,726,485,3.7,-5.0
Tumakuru,13.3379,77.1173,718,421,3.7,16.2
Udupi,13.3409,74.7421,609,344,3.1,-17.2
Vijayapura,16.8302,75.71,2135,1299,10.9,-8.8
Raichur,16.2076,77.3463,488,328,2.5,4.8
Bidar,17.9104,77.5199,1175,661,6.0,-7.3
Chikkamagaluru,13.3161,75.772,1687,1105,8.7,21.1
Hassan,13.0072,76.0962,1582,921,8.1,-18.5
Kolar,13.1372,78.1298,1754,1032,9.0,-7.5
Mandya,12.5221,76.8951,563,391,2.9,21.3
Chitradurga,14.2296,76.3985,1178,703,6.0,9.8
Koppal,15.3547,76.1544,1147,662,5.9,-4.2
